"population","ID","block","color","number","size","env","group","old.H8","old.H9","H8","H9"
591,591.1,3,"pink",2,10,"stable",NA,NA,NA,0.820066878917932,0.741573737165109
593,593.1,3,"pink",2,10,"stable",NA,NA,NA,0.89181246792484,0.851979187550558
595,595.1,3,"pink",2,10,"stable","low",0.889,0.875,0.920446817232301,0.906159474405714
596,596.1,3,"pink",2,10,"stable",NA,NA,NA,0.739564729209164,0.727414804424706
598,598.1,3,"pink",2,10,"stable",NA,NA,NA,0.621345878751111,0.592055566744242
599,599.1,3,"pink",2,10,"stable","low",0.891,0.873,0.902258879897704,0.883697443366367
600,600.2,3,"pink",2,10,"stable","low",0.839,0.831,0.870027232224375,0.862602227471154
600,600.1,3,"pink",2,10,"stable","low",0.839,0.831,0.870027232224375,0.862602227471154
602,602.1,3,"pink",4,5,"fluctuating","low",0.866,0.855,0.891057336380228,0.880621265596052
602,602.2,3,"pink",4,5,"fluctuating","low",0.866,0.855,0.891057336380228,0.880621265596052
605,605.1,3,"pink",4,5,"fluctuating",NA,NA,NA,0.900548790598301,0.875846776978085
606,606.1,3,"pink",4,5,"fluctuating","high",0.831,0.814,0.868143144009888,0.851195363826151
606,606.2,3,"pink",4,5,"fluctuating","high",0.831,0.814,0.868143144009888,0.851195363826151
607,607.1,3,"pink",4,5,"fluctuating","high",0.811,0.777,0.840875267816218,0.807478093466411
610,610.1,3,"pink",4,5,"fluctuating",NA,NA,NA,0.861828865547126,0.793752831910994
611,611.1,3,"pink",4,5,"fluctuating","low",0.883,0.865,0.923182483598247,0.90413126448275
613,613.1,3,"pink",4,5,"fluctuating",NA,NA,NA,0.835939970115565,0.787087431694471
614,614.1,3,"pink",4,5,"fluctuating","low",0.863,0.838,0.89866342503619,0.87268442152393
616,616.1,3,"pink",4,5,"fluctuating",NA,NA,NA,0.881990363702834,0.86824749032381
617,617.2,3,"pink",4,5,"fluctuating","high",0.812,0.794,0.836855053459629,0.818517076779652
617,617.1,3,"pink",4,5,"fluctuating","high",0.812,0.794,0.836855053459629,0.818517076779652
619,619.1,3,"pink",4,5,"fluctuating",NA,NA,NA,0.819048413701847,0.790614671739508
621,621.1,3,"pink",4,5,"fluctuating","low",0.874,0.86,0.916817483785411,0.902241756778137
622,622.2,3,"pink",4,5,"fluctuating","high",0.818,0.809,0.859009897387157,0.849846086940217
622,622.1,3,"pink",4,5,"fluctuating","high",0.818,0.809,0.859009897387157,0.849846086940217
623,623.1,3,"pink",4,5,"fluctuating",NA,NA,NA,0.735951481548955,0.711625152060567
624,624.1,3,"pink",4,5,"fluctuating","low",0.876,0.864,0.905344541303363,0.893272299975279
625,625.1,3,"pink",4,5,"fluctuating","low",0.877,0.861,0.90726634775483,0.891249572019618
626,626.1,3,"pink",4,5,"fluctuating","low",0.869,0.852,0.912355013137842,0.894986009096667
626,626.2,3,"pink",4,5,"fluctuating","low",0.869,0.852,0.912355013137842,0.894986009096667
627,627.1,3,"pink",4,5,"fluctuating","high",0.787,0.765,0.837136166276748,0.814330088491981
628,628.1,3,"pink",4,5,"fluctuating","high",0.83,0.815,0.871268933323643,0.855473796423214
630,630.1,3,"pink",4,5,"fluctuating",NA,NA,NA,0.878281432767336,0.848141452237737
631,631.1,3,"pink",4,5,"stable","high",0.862,0.823,0.882767171150377,0.843518833057975
633,633.1,3,"pink",4,5,"stable","high",0.806,0.789,0.848558185636745,0.830553035318934
635,635.1,3,"pink",4,5,"stable",NA,NA,NA,0.752082331886383,0.717264515670381
636,636.1,3,"pink",4,5,"stable","low",0.868,0.851,0.911123130683018,0.893390123102203
637,637.1,3,"pink",4,5,"stable","high",0.841,0.789,0.871584403406676,0.81909894163802
639,639.1,3,"pink",4,5,"stable","high",0.825,0.809,0.869966737768967,0.854126906046234
645,645.1,3,"pink",4,5,"stable",NA,NA,NA,0.855949766570502,0.823904520870817
648,648.1,3,"pink",4,5,"stable",NA,NA,NA,0.87818938414647,0.863860536584247
649,649.1,3,"pink",4,5,"stable",NA,NA,NA,0.919384130871829,0.905186276036366
651,651.1,3,"pink",4,5,"stable",NA,NA,NA,0.901408350899301,0.867440969555353
652,652.1,3,"pink",4,5,"stable",NA,NA,NA,0.88069896392564,0.847779035951496
653,653.1,3,"pink",4,5,"stable","low",0.868,0.85,0.909321367008573,0.890686262556365
